# 20240716
# M2
# SCuM TX, OpenMote RX
# Measured at the Delta field site on Bouldin Island

Distance [m],Rubber ducky [dBm],Solid ground PCB [dBm],Solid ground PCB rotated by 90° [dBm],Solid ground PCB over corn [dBm]
1,-48,-58,
1,-48,-58,
1,-47,-58,
1,-48,-58,
1,-48,-58,
1,-48,-58,
1,-48,-58,
1,-48,-58,
1,-48,-58,
1,-47,-58,
1,-47,-58,
1,-47,-58,
1,-48,-58,
1,-48,-60,
1,-48,-61,
1,-47,-60,
1,-48,-61,
1,-48,-61,
1,-48,-61,
1,-48,-61,
1,-48,-60,
1,-48,-60,
1,-48,-60,
1,-48,-60,
1,-48,-60,
1,-49,-60,
1,-48,-60,
1,-48,-59,
1,-48,-60,
1,-48,-59,
1,-48,-60,
1,-48,-62,
1,-48,-58,
1,-49,,
1,-49,,
1,-49,,
1,-49,,
1,-49,,
5,-63,-77,
5,-63,-75,
5,-65,-76,
5,-65,-74,
5,-66,-75,
5,-63,-73,
5,-63,-75,
5,-63,-74,
5,-63,-74,
5,-65,-75,
5,-64,-76,
5,-62,-73,
5,-66,-76,
5,-62,-75,
5,-63,-75,
5,-64,-75,
5,-64,-74,
5,-65,-74,
5,-64,-74,
5,-64,-75,
5,-65,-76,
5,-65,-76,
5,-66,-75,
5,-65,-76,
5,-64,-76,
5,-63,-75,
5,-64,-76,
5,-63,-76,
5,-65,-75,
5,-65,-74,
5,-64,-75,
5,-66,-74,
5,-66,-75,
5,-65,-75,
5,-64,-76,
5,-64,,
5,-64,,
10,-67,-80,
10,-66,-80,
10,-67,-80,
10,-67,-80,
10,-67,-80,
10,-67,-80,
10,-67,-80,
10,-67,-79,
10,-67,-79,
10,-67,-79,
10,-67,-80,
10,-68,-79,
10,-67,-80,
10,-68,-79,
10,-67,-80,
10,-67,-80,
10,-67,-80,
10,-66,-80,
10,-67,-80,
10,-67,-81,
10,-67,-80,
10,-67,-80,
10,-67,-79,
10,-67,-80,
10,-66,-80,
10,-67,-81,
10,-67,-81,
10,-67,-81,
10,-67,-81,
10,-67,-81,
10,-66,-81,
10,-66,-80,
10,-66,-81,
10,-67,-79,
10,-67,-79,
10,-66,,
10,-66,,
15,-71,-84,
15,-72,-85,
15,-72,-84,
15,-73,-84,
15,-72,-85,
15,-72,-85,
15,-72,-84,
15,-71,-85,
15,-70,-85,
15,-70,-86,
15,-69,-84,
15,-71,-85,
15,-71,-86,
15,-70,-87,
15,-69,-85,
15,-69,-83,
15,-71,-84,
15,-70,-85,
15,-70,-87,
15,-69,-86,
15,-69,-85,
